campaign_name,send_date,sent,delivered,opens,open_rate,clicks,click_rate,unsubscribes,revenue
"Welcome Series - Email 1",2026-05-02,8420,8316,5494,66.07,2135,25.68,6,10743.78
"Weekly Product Digest - W18",2026-05-04,24150,23801,7923,33.29,1043,4.39,24,1732.43
"Feature Launch - Kanban Boards",2026-05-09,22890,22547,7670,34.02,2369,10.51,28,9440.13
"Weekly Product Digest - W19",2026-05-11,24310,23888,7456,31.21,1790,7.49,26,3893.48
"Re-engagement - 30 Day Inactive",2026-05-14,6180,6078,723,11.91,164,2.7,53,256.52
"Weekly Product Digest - W20",2026-05-18,24480,24271,7844,32.32,1720,7.09,47,2702.19
"Case Study - Agency Team",2026-05-21,19750,19612,5812,29.64,872,4.45,35,1892.18
"Weekly Product Digest - W21",2026-05-25,24620,24232,8361,34.51,1749,7.22,24,2879.96
"Pricing Update Announcement",2026-05-28,25100,24933,10414,41.77,1761,7.06,134,3367.58
"Weekly Product Digest - W22",2026-06-01,24790,24410,8529,34.94,1180,4.84,44,2771.67
