stage,visitors,conversions,conversion_rate,date,source
visit,1782,170,9.54,2026-06-01,organic
signup,170,94,55.29,2026-06-01,organic
activation,94,25,26.6,2026-06-01,organic
purchase,25,15,60.0,2026-06-01,organic
retained,15,15,100.0,2026-06-01,organic
visit,1809,164,9.07,2026-06-02,paid_search
signup,164,86,52.44,2026-06-02,paid_search
activation,86,22,25.58,2026-06-02,paid_search
purchase,22,13,59.09,2026-06-02,paid_search
retained,13,13,100.0,2026-06-02,paid_search
visit,1617,149,9.21,2026-06-03,paid_social
signup,149,76,51.01,2026-06-03,paid_social
activation,76,31,40.79,2026-06-03,paid_social
purchase,31,16,51.61,2026-06-03,paid_social
retained,16,16,100.0,2026-06-03,paid_social
visit,1717,204,11.88,2026-06-04,email
signup,204,125,61.27,2026-06-04,email
activation,125,45,36.0,2026-06-04,email
purchase,45,26,57.78,2026-06-04,email
retained,26,26,100.0,2026-06-04,email
visit,2204,199,9.03,2026-06-05,organic
signup,199,118,59.3,2026-06-05,organic
activation,118,36,30.51,2026-06-05,organic
purchase,36,18,50.0,2026-06-05,organic
retained,18,18,100.0,2026-06-05,organic
visit,1253,129,10.3,2026-06-06,paid_search
signup,129,75,58.14,2026-06-06,paid_search
activation,75,21,28.0,2026-06-06,paid_search
purchase,21,13,61.9,2026-06-06,paid_search
retained,13,13,100.0,2026-06-06,paid_search
visit,1509,160,10.6,2026-06-07,organic
signup,160,85,53.12,2026-06-07,organic
activation,85,22,25.88,2026-06-07,organic
purchase,22,11,50.0,2026-06-07,organic
retained,11,11,100.0,2026-06-07,organic
visit,1705,207,12.14,2026-06-08,organic
signup,207,105,50.72,2026-06-08,organic
activation,105,32,30.48,2026-06-08,organic
purchase,32,20,62.5,2026-06-08,organic
retained,20,20,100.0,2026-06-08,organic
visit,1865,191,10.24,2026-06-09,paid_search
signup,191,111,58.12,2026-06-09,paid_search
activation,111,42,37.84,2026-06-09,paid_search
purchase,42,22,52.38,2026-06-09,paid_search
retained,22,22,100.0,2026-06-09,paid_search
visit,1944,221,11.37,2026-06-10,paid_social
signup,221,132,59.73,2026-06-10,paid_social
activation,132,51,38.64,2026-06-10,paid_social
purchase,51,28,54.9,2026-06-10,paid_social
retained,28,28,100.0,2026-06-10,paid_social
